TÊN ĐƯỜNG,Giá đất đề nghị điều chỉnh,District
"ĐẶNG NHƯ MAI, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 174HA)",77800.0,Thủ Đức
"NGUYỄN ĐỊA LÔ, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 174HA)",77800.0,Thủ Đức
"LÂM QUANG KY, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 174HA)",77800.0,Thủ Đức
"NGUYỄN KHOA ĐĂNG, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 143HA - KHU 1)",77800.0,Thủ Đức
"PHAN BÁ VÀNH, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 174HA)",68000.0,Thủ Đức
"NGUYỄN MỘNG TUÂN, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 174HA)",72900.0,Thủ Đức
"TRƯƠNG GIA MÔ, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 143HA)",77800.0,Thủ Đức
"NGUYỄN QUANG BẬT, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 143HA - KHU 1)",68000.0,Thủ Đức
"ĐÀM VĂN LỄ, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",77800.0,Thủ Đức
"PHẠM THẬN DUẬT, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 143HA - KHU 1)",64000.0,Thủ Đức
"PHẠM CÔNG TRỨ, 
PHƯỜNG THẠNH MỸ LỢI 
(DỰ ÁN 143HA - KHU 1)",63200.0,Thủ Đức
"PHẠM HY LƯỢNG, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",63200.0,Thủ Đức
"PHẠM ĐÔN LỄ, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",64000.0,Thủ Đức
"NGUYỄN TRỌNG QUẢN, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",63200.0,Thủ Đức
"VŨ PHƯƠNG ĐỀ, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",63200.0,Thủ Đức
"QUÁCH GIAI, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",63200.0,Thủ Đức
"SỬ HY NHAN, 
PHƯỜNG THẠNH MỸ LỢI
(DỰ ÁN 143HA - KHU 1)",63200.0,Thủ Đức
"ĐƯỜNG 4, 
PHƯỜNG BÌNH TRƯNG TÂY",40100.0,Thủ Đức
"ĐƯỜNG 39-AP
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 40-AP
(QH TĐC KHU LH TDTT
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 41-AP
(QH TĐC KHU LH TDTT
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 42-AP
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 43-AP 
(QH TĐC KHU LH TDTT
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 44-AP 
(QH TĐC KHU LH TDTT
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 45-AP
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 46-AP
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 47-AP
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 48-AP 
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 49-AP 
(QH TĐC KHU LH TDTT
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG 50-AP
(QH TĐC KHU LH TDTT 
VÀ NHÀ Ở RẠCH CHIẾC)",49400.0,Thủ Đức
"ĐƯỜNG TRONG DỰ ÁN 
CÔNG TY CARIC",71300.0,Thủ Đức
"ĐƯỜNG 51, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",54100.0,Thủ Đức
"ĐƯỜNG 52,
PHƯỜNG BÌNH TRƯNG ĐÔNG",54100.0,Thủ Đức
"ĐƯỜNG 55, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",51100.0,Thủ Đức
"ĐƯỜNG 57, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",51100.0,Thủ Đức
"ĐƯỜNG 58, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",51100.0,Thủ Đức
"ĐƯỜNG 59, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",51100.0,Thủ Đức
"ĐƯỜNG 64, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",60200.0,Thủ Đức
"ĐƯỜNG 65, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",60200.0,Thủ Đức
ĐƯỜNG 46-BTT,46100.0,Thủ Đức
VÕ CHÍ CÔNG,66200.0,Thủ Đức
"ĐƯỜNG 53-TML
(DỰ ÁN CÔNG TY HÀ ĐÔ)",68000.0,Thủ Đức
"ĐƯỜNG 63-TML
(DỰ ÁN KHU NHÀ Ở CÔNG TY HUY HOÀNG - 174HA)",68000.0,Thủ Đức
"ĐƯỜNG 65-TML  
(DỰ ÁN CÔNG TY TNHH 
TRUNG TIẾN)",68000.0,Thủ Đức
"ĐƯỜNG 66-TML 
(DỰ ÁN CÔNG TY TNHH
TRUNG TIẾN)",68000.0,Thủ Đức
"ĐƯỜNG 70-TML  
(DỰ ÁN CÔNG TY
PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 71-TML 
(DỰ ÁN CÔNG TY 
PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 72-TML  
(DỰ ÁN CÔNG TY 
PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 73-TML 
(DỰ ÁN CÔNG TY 
PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 74-TML  
(DỰ ÁN CÔNG TY 
PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 75-TML  
(DỰ ÁN CÔNG TY TNHH 
ĐÁ BÌNH DƯƠNG)",68000.0,Thủ Đức
"ĐƯỜNG 76-TML
(DỰ ÁN CÔNG TY KCN 
SÀI GÒN)",68000.0,Thủ Đức
"ĐƯỜNG 77-TML  
(DỰ ÁN CÔNG TY KCN
SÀI GÒN)",68000.0,Thủ Đức
"ĐƯỜNG 78-TML  
(DỰ ÁN CÔNG TY KCN 
SÀI GÒN)",68000.0,Thủ Đức
"ĐƯỜNG 79-TML  
(DỰ ÁN CÔNG TY KCN 
SÀI GÒN)",68000.0,Thủ Đức
"ĐƯỜNG 80-TML  
(DỰ ÁN CÔNG TY KCN
SÀI GÒN)",68000.0,Thủ Đức
"ĐƯỜNG 81-TML  
(DỰ ÁN CÔNG TY KCN 
SÀI GÒN)",68000.0,Thủ Đức
"ĐƯỜNG 82-TML  
(DỰ ÁN CÔNG TY PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 83-TML 
(DỰ ÁN CÔNG TY PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 84-TML  
(DỰ ÁN CÔNG TY PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 85-TML  
(DỰ ÁN CÔNG TY PHÚ NHUẬN)",68000.0,Thủ Đức
"ĐƯỜNG 86-TML 
(DỰ ÁN CÔNG TY QUANG TRUNG)",68000.0,Thủ Đức
"ĐƯỜNG 87-TML 
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 88-TML
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 89-TML
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 90-TML
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 91-TML
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 92-TML
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 93-TML  
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 94-TML  
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 95-TML 
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 96-TML  
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 97-TML 
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 98-TML 
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 99-TML 
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 100-TML
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 101-TML  
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 102-TML  
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",68000.0,Thủ Đức
"ĐƯỜNG 103-TML 
(DỰ ÁN 143HA VÀ DỰ ÁN 
CÔNG TY CPĐT THỦ THIÊM)",77800.0,Thủ Đức
"ĐƯỜNG 104-TML 
(DỰ ÁN CÔNG TY HUY HOÀNG + CÔNG TY PHÚ NHUẬN)",77800.0,Thủ Đức
"ĐƯỜNG 31-CL 
(ĐƯỜNG N1- KHU ĐÔ THỊ
CÁT LÁI 44HA)",37300.0,Thủ Đức
ĐƯỜNG 33-CL,37300.0,Thủ Đức
ĐƯỜNG 34-CL,42900.0,Thủ Đức
ĐƯỜNG 35-CL,45400.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 10M ĐẾN 12M -
KHU ĐÔ THỊ CÁT LÁI 44HA",39700.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 14M ĐẾN 18M - 
KHU ĐÔ THỊ CÁT LÁI 44HA",37300.0,Thủ Đức
"ĐƯỜNG N4, D4, D5 - 
KHU ĐÔ THỊ CÁT LÁI 44HA",37300.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 8M ĐẾN 12M - 
(DỰ ÁN KHU NHÀ Ở VĂN MINH + DỰ ÁN KHU NHÀ Ở CÁN BỘ CÔNG NHÂN VIÊN - CÔNG TY QUẢN LÝ VÀ PHÁT TRIỂN NHÀ QUẬN 2), 
PHƯỜNG AN PHÚ",68000.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 12M - (KHU NHÀ Ở 280 LƯƠNG ĐỊNH CỦA), KP1, PHƯỜNG AN PHÚ",72900.0,Thủ Đức
"ĐƯỜNG A (DỰ ÁN 17,3HA), PHƯỜNG AN PHÚ - PHƯỜNG AN KHÁNH",72900.0,Thủ Đức
"ĐƯỜNG C (DỰ ÁN 17,3HA), PHƯỜNG AN PHÚ - PHƯỜNG AN KHÁNH",72900.0,Thủ Đức
"ĐƯỜNG D (DỰ ÁN 17,3HA), PHƯỜNG AN PHÚ - PHƯỜNG AN KHÁNH",72900.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ
LỘ GIỚI 12M (KHU NHÀ Ở MỸ MỸ - 87HA), PHƯỜNG AN PHÚ",70500.0,Thủ Đức
"ĐƯỜNG 43 
(KHU NHÀ Ở MỸ MỸ - 87HA), 
PHƯỜNG AN PHÚ",77000.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 12M
(KHU A - DỰ ÁN 131HA)",70500.0,Thủ Đức
"ĐƯỜNG VÀNH ĐAI TÂY 
(DỰ ÁN 131)",73700.0,Thủ Đức
ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 8M - 12M (KHU B VÀ KHU C - DỰ ÁN 131HA),70500.0,Thủ Đức
"ĐƯỜNG D 
(KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW), 
PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG K 
(KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW), 
PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG M 
(KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW),
PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG R
(KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW), 
PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG S
(KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW), 
PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG T 
(KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW),
PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ
LỘ GIỚI 10M - 12M (KHU 30,1HA NAM RẠCH CHIẾC - LAKEVIEW), PHƯỜNG AN PHÚ",49400.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ LỘ GIỚI 8M - 10M (KHU TÁI ĐỊNH CƯ SỐ 3 THUỘC KHU 30HA NAM RẠCH CHIẾC), PHƯỜNG AN PHÚ",61000.0,Thủ Đức
"ĐƯỜNG TRỤC CHÍNH 
TRONG KHU LIÊN HỢP 
TDTT RẠCH CHIẾC",82600.0,Thủ Đức
"ĐƯỜNG 2, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",44200.0,Thủ Đức
"ĐƯỜNG 17, 
PHƯỜNG BÌNH TRƯNG ĐÔNG",48200.0,Thủ Đức
HỒ THỊ NHUNG,66200.0,Thủ Đức
"ĐƯỜNG 45 (KHU DÂN CƯ LAN ANH), PHƯỜNG AN KHÁNH",71300.0,Thủ Đức
"ĐƯỜNG 38, 
PHƯỜNG THẢO ĐIỀN",71300.0,Thủ Đức
AN TƯ CÔNG CHÚA ,109400.0,Thủ Đức
LƯU ĐÌNH LỄ,109400.0,Thủ Đức
"ĐƯỜNG NỘI BỘ DỰ ÁN 38,4HA, PHƯỜNG AN KHÁNH",72900.0,Thủ Đức
"ĐƯỜNG BẮC NAM III, KP5, PHƯỜNG AN PHÚ (QH 87HA)",74500.0,Thủ Đức
"ĐƯỜNG SỐ 1 KHU DÂN CƯ VÀ TÁI ĐỊNH CƯ NAM RẠCH CHIẾC (60,21HA), PHƯỜNG AN PHÚ",76000.0,Thủ Đức
"ĐƯỜNG SỐ 2 KHU DÂN CƯ VÀ TÁI ĐỊNH CƯ NAM RẠCH CHIẾC (60,21HA), PHƯỜNG AN PHÚ",67000.0,Thủ Đức
"ĐƯỜNG SỐ 3 KHU DÂN CƯ VÀ TÁI ĐỊNH CƯ NAM RẠCH CHIẾC (60,21HA), PHƯỜNG AN PHÚ",67000.0,Thủ Đức
"ĐƯỜNG SỐ 4 KHU DÂN CƯ VÀ TÁI ĐỊNH CƯ NAM RẠCH CHIẾC (60,21HA), PHƯỜNG AN PHÚ",68000.0,Thủ Đức
"ĐƯỜNG SỐ 5 KHU DÂN CƯ VÀ TÁI ĐỊNH CƯ NAM RẠCH CHIẾC (60,21HA), PHƯỜNG AN PHÚ",68000.0,Thủ Đức
ĐƯỜNG SONG HÀNH HƯỚNG NAM ĐƯỜNG CAO TỐC TPHCM - LONG THÀNH - DẦU GIÂY,61600.0,Thủ Đức
"ĐƯỜNG GIAO THÔNG NỘI BỘ DỰ ÁN 4,8HA CÔNG TY PHÚ NHUẬN - 87HA, PHƯỜNG AN PHÚ",70500.0,Thủ Đức
ĐƯỜNG 46-CL,49900.0,Thủ Đức
ĐƯỜNG 71-CL,40400.0,Thủ Đức
ĐƯỜNG 71A-TML (DỰ ÁN CÔNG TY PHÚ NHUẬN),68000.0,Thủ Đức
"ĐƯỜNG NỘI BỘ DỰ ÁN 143HA, PHƯỜNG THẠNH MỸ LỢI",63200.0,Thủ Đức
TINH THIỀU,105300.0,Thủ Đức
BẠCH ĐÔNG ÔN,105300.0,Thủ Đức
PHẠM VĂN NGÔN,105300.0,Thủ Đức
DƯƠNG THANH,105300.0,Thủ Đức
DƯƠNG LÂM,105300.0,Thủ Đức
ĐẶNG ĐÌNH TƯỚNG ,105300.0,Thủ Đức
ĐẶNG BỈNH THÀNH,105300.0,Thủ Đức
TRẦN BẠCH ĐẰNG,295000.0,Thủ Đức
TỐ HỮU,295000.0,Thủ Đức
NGUYỄN THIỆN THÀNH,295000.0,Thủ Đức
NGUYỄN CƠ THẠCH,295000.0,Thủ Đức
HOÀNG THẾ THIỆN,163000.0,Thủ Đức
"ĐƯỜNG N1, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D1, ĐƯỜNG R5 , PHƯỜNG AN LỢI ĐÔNG ",163000.0,Thủ Đức
"ĐƯỜNG D9, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D8, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D7, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D6, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D5, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D4, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG D3, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG SỐ 12, ĐƯỜNG N7, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG N8, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG B2, B8, B10, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG B4, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG SỐ 10, ĐƯỜNG N2, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG B6, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG B12, PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG SỐ 5,  PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG SỐ 7, ĐƯỜNG B3,  PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
"ĐƯỜNG SỐ 11,  PHƯỜNG AN LỢI ĐÔNG",163000.0,Thủ Đức
CÁC TUYẾN ĐƯỜNG NỘI KHU TRONG KHU ĐÔ THỊ MỚI THỦ THIÊM,163000.0,Thủ Đức
"ĐƯỜNG NỘI BỘ 10m KHU TRONG KHU TÁI ĐỊNH CƯ 1,8HA PHƯỜNG AN KHÁNH",54000.0,Thủ Đức
"ĐƯỜNG NỘI BỘ 22,6M KHU TRONG KHU TÁI ĐỊNH CƯ 1,8HA PHƯỜNG AN KHÁNH",76000.0,Thủ Đức
"ĐƯỜNG NỘI BỘ 24M KHU TRONG KHU TÁI ĐỊNH CƯ 1,8HA PHƯỜNG AN KHÁNH",79000.0,Thủ Đức
"ĐƯỜNG NỘI BỘ 30M KHU TRONG KHU TÁI ĐỊNH CƯ 1,8HA PHƯỜNG AN KHÁNH",90000.0,Thủ Đức
QUẬN 9 (CŨ),,Thủ Đức
BÙI QUỐC KHÁI,36500.0,Thủ Đức
BƯNG ÔNG THOÀN,45400.0,Thủ Đức
CẦU ĐÌNH,25100.0,Thủ Đức
CẦU XÂY,50200.0,Thủ Đức
CẦU XÂY 2,56000.0,Thủ Đức
"DÂN CHỦ,
PHƯỜNG HIỆP PHÚ",53500.0,Thủ Đức
DƯƠNG ĐÌNH HỘI,56700.0,Thủ Đức
"ĐẠI LỘ 2,
PHƯỜNG PHƯỚC BÌNH",56700.0,Thủ Đức
"ĐẠI LỘ 3,
PHƯỜNG PHƯỚC BÌNH",56700.0,Thủ Đức
ĐÌNH PHONG PHÚ,56700.0,Thủ Đức
ĐỖ XUÂN HỢP,66200.0,Thủ Đức
"ĐƯỜNG 100A (ĐƯỜNG 100, KHU PHỐ 6 CŨ), PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 100,
KHU PHỐ 1,
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 109, 
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 11, PHƯỜNG LONG THẠNH MỸ",36500.0,Thủ Đức
"ĐƯỜNG 11,
PHƯỜNG TĂNG NHƠN PHÚ B",48600.0,Thủ Đức
"ĐƯỜNG 12, 
PHƯỜNG TĂNG NHƠN PHÚ B",48600.0,Thủ Đức
"ĐƯỜNG 1-20,
PHƯỜNG PHƯỚC BÌNH",50100.0,Thủ Đức
"ĐƯỜNG 120,
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 138,
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 144, 
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 147, 
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 15, PHƯỜNG LONG THẠNH MỸ",33200.0,Thủ Đức
"ĐƯỜNG 16, 
PHƯỜNG LONG BÌNH",35600.0,Thủ Đức
"ĐƯỜNG 160, 
PHƯỜNG TĂNG NHƠN PHÚ A",46200.0,Thủ Đức
"ĐƯỜNG 179, 
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 185, 
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 18A, 
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 18B,
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 197,
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 21,
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 215, 
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 22, 
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 22-25,
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 23, PHƯỜNG LONG THẠNH MỸ",34500.0,Thủ Đức
"ĐƯỜNG 24, PHƯỜNG LONG THẠNH MỸ",36500.0,Thủ Đức
"ĐƯỜNG 245,
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 29, PHƯỜNG LONG THẠNH MỸ",28400.0,Thủ Đức
"ĐƯỜNG 297, 
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 339,
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 359, 
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG 400,
PHƯỜNG TÂN PHÚ",55900.0,Thủ Đức
"ĐƯỜNG 442,
PHƯỜNG TĂNG NHƠN PHÚ A",48600.0,Thủ Đức
"ĐƯỜNG 475,
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
"ĐƯỜNG TRẦN THỊ ĐIỆU,
PHƯỜNG PHƯỚC LONG B",55900.0,Thủ Đức
"ĐƯỜNG 671, 
PHƯỜNG TÂN PHÚ",45400.0,Thủ Đức
"ĐƯỜNG 6A, 
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 6B, 
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 6C, 
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 6D,
PHƯỜNG PHƯỚC BÌNH",50200.0,Thủ Đức
"ĐƯỜNG 79,
PHƯỜNG PHƯỚC LONG B",36500.0,Thủ Đức
ĐƯỜNG NGUYỄN THỊ TƯ,42100.0,Thủ Đức
ĐƯỜNG LÀNG TĂNG PHÚ,55100.0,Thủ Đức
ĐƯỜNG LIÊN PHƯỜNG PHÚ HỮU,56700.0,Thủ Đức
HỒ THỊ TƯ,90700.0,Thủ Đức
"ĐƯỜNG SỐ 1,
PHƯỜNG LONG THẠNH MỸ",44600.0,Thủ Đức
"ĐƯỜNG SỐ 11, 
PHƯỜNG LONG BÌNH",35600.0,Thủ Đức
"ĐƯỜNG SỐ 12, 
PHƯỜNG LONG BÌNH",37900.0,Thủ Đức
"ĐƯỜNG SỐ 12, 
PHƯỜNG LONG THẠNH MỸ",36500.0,Thủ Đức
"ĐƯỜNG SỐ 12, 
PHƯỜNG TRƯỜNG THẠNH",38900.0,Thủ Đức
"ĐƯỜNG SỐ 13,
PHƯỜNG LONG BÌNH",32500.0,Thủ Đức
"ĐƯỜNG SỐ 13,
PHƯỜNG LONG THẠNH MỸ",42900.0,Thủ Đức
"ĐƯỜNG SỐ 14, 
PHƯỜNG LONG BÌNH",35600.0,Thủ Đức
"ĐƯỜNG SỐ 15, 
PHƯỜNG LONG BÌNH",35600.0,Thủ Đức
"ĐƯỜNG SỐ 154, PHƯỜNG TÂN PHÚ",50200.0,Thủ Đức
"ĐƯỜNG SỐ 16, 
PHƯỜNG LONG THẠNH MỸ",36500.0,Thủ Đức
"ĐƯỜNG SỐ 2,
PHƯỜNG LONG THẠNH MỸ",44600.0,Thủ Đức
"ĐƯỜNG SỐ 2,
PHƯỜNG TĂNG NHƠN PHÚ B",36500.0,Thủ Đức
"ĐƯỜNG SỐ 20, 
PHƯỜNG LONG THẠNH MỸ",36500.0,Thủ Đức
"ĐƯỜNG SỐ 207,
PHƯỜNG HIỆP PHÚ",48600.0,Thủ Đức
"ĐƯỜNG SỐ 236, 
PHƯỜNG TĂNG NHƠN PHÚ A",46200.0,Thủ Đức
"ĐƯỜNG SỐ 265, 
PHƯỜNG HIỆP PHÚ",53500.0,Thủ Đức
"ĐƯỜNG SỐ 275, 
PHƯỜNG HIỆP PHÚ",53500.0,Thủ Đức
"ĐƯỜNG SỐ 311,
PHƯỜNG HIỆP PHÚ",53500.0,Thủ Đức
