,Diện Tích,Giá,Triệu/m2,Số Phòng Ngủ,Số Nhà Vệ Sinh,Giá Đề Xuất,Giá Quận,Giá Đường
294,64.0,1.85,28.9,2.0,2.0,77100.0,4.675000000000001,1.85
296,77.0,2.5,32.5,5.0,5.0,129600.0,6.7,6.4
297,68.0,2.35,34.6,4.0,4.0,64800.0,6.95,7.050000000000001
299,48.9,2.38,48.7,4.0,3.0,174600.0,8.19,3.5
303,110.0,4.5,40.9,3.0,1.0,101900.0,4.65,4.5
304,60.4,3.55,58.8,4.0,5.0,96400.0,8.19,8.8
305,52.0,2.55,49.0,4.0,5.0,59000.0,6.0,2.88
306,80.0,17.0,212.5,6.0,5.0,77000.0,7.5,16.75
307,46.5,2.29,49.2,4.0,3.0,26500.0,4.65,5.95
308,83.0,3.0,36.1,3.0,2.0,129600.0,6.5,6.8
310,118.0,18.6,157.6,3.0,2.0,416000.0,14.0,13.75
312,220.0,23.1,105.0,3.0,4.0,40950.0,7.5,24.7
315,88.0,11.2,127.3,4.0,4.0,37300.0,4.7,2.25
317,190.0,30.0,157.9,4.0,4.0,122300.0,8.9,6.1
319,200.3,23.0,114.8,4.0,3.0,151500.0,8.9,11.0
321,141.0,12.0,85.1,3.0,3.0,151500.0,8.9,11.0
323,83.5,6.5,77.8,2.0,2.0,151500.0,8.9,11.0
325,89.56,7.2,80.4,2.0,2.0,151500.0,8.9,11.0
329,65.7,2.9,44.1,2.0,1.0,66200.0,7.5,3.6500000000000004
335,80.0,5.5,68.8,4.0,3.0,55100.0,6.95,7.1
336,104.0,12.0,115.4,5.0,2.0,72900.0,6.5,4.5
337,80.0,3.9,48.8,2.0,2.0,64800.0,6.95,6.5
348,49.4,6.23,126.1,4.0,4.0,80200.0,6.0,6.25
354,54.0,3.6,66.7,4.0,4.0,80600.0,7.51,3.6
355,68.5,4.05,59.1,2.0,2.0,66200.0,7.5,4.0
367,83.0,6.2,74.7,2.0,2.0,179800.0,8.9,9.9
368,55.0,4.75,86.4,3.0,2.0,130900.0,8.19,3.3
374,68.5,4.3,62.8,2.0,2.0,66200.0,7.5,4.0
379,202.0,38.0,188.1,21.0,21.0,42950.0,7.5,12.75
395,148.0,7.8,52.7,3.0,2.0,93150.0,6.7,7.5
396,36.0,4.15,115.3,2.0,2.0,81800.0,6.5,10.0
397,95.0,8.6,90.5,5.0,5.0,64800.0,6.95,7.050000000000001
398,120.0,9.8,81.7,3.0,2.0,179800.0,8.9,9.9
402,36.9,1.87,50.7,1.0,1.0,129600.0,6.7,6.4
403,44.5,2.85,64.0,2.0,1.0,40500.0,6.95,5.5249999999999995
404,82.0,9.2,112.2,4.0,5.0,57000.0,5.2,6.85
406,115.0,4.65,40.4,3.0,2.0,40233.333333333336,6.7,2.675
408,152.0,16.0,105.3,3.0,4.0,101300.0,6.0,6.6
409,61.1,4.7,76.9,5.0,6.0,266500.0,8.35,12.5
410,30.0,5.2,173.3,3.0,3.0,103300.0,8.19,5.2
412,52.8,1.85,35.0,2.0,2.0,66200.0,7.5,4.0
416,300.0,14.0,46.7,3.0,1.0,27100.0,4.05,9.95
417,56.0,3.85,68.8,2.0,1.0,41300.0,4.675000000000001,3.85
419,69.0,16.5,239.1,4.0,3.0,286000.0,14.0,16.5
420,107.0,13.2,123.4,4.0,3.0,103700.0,8.19,13.05
422,52.0,2.16,41.5,4.0,5.0,198500.0,7.51,11.6
425,54.0,4.9,90.7,1.0,1.0,179800.0,8.9,9.9
427,73.0,2.55,34.9,2.0,1.0,85066.66666666667,6.7,32.25
429,75.0,23.0,306.7,5.0,5.0,188600.0,12.0,23.0
431,53.1,4.58,86.3,6.0,5.0,176500.0,12.0,13.1
432,57.8,7.0,121.1,4.0,4.0,66400.0,8.9,7.0
437,133.2,16.5,123.9,6.0,6.0,104300.0,4.4,6.4
439,34.2,3.6,105.3,4.0,5.0,246900.0,4.4,3.6500000000000004
441,77.5,6.7,86.5,2.0,2.0,179800.0,8.9,9.9
443,138.0,14.95,108.3,2.0,2.0,151500.0,8.9,11.0
445,135.0,5.5,40.7,3.0,3.0,26233.33333333333,5.2,5.7
447,102.5,18.8,183.4,4.0,4.0,64800.0,6.95,7.050000000000001
453,51.0,2.79,54.7,1.0,1.0,76600.0,4.675000000000001,3.63
455,43.0,6.5,151.2,3.0,3.0,86800.0,8.19,6.5
456,1993.1,40.0,20.1,3.0,2.0,14900.0,6.4,23.8
457,85.0,6.6,77.6,2.0,2.0,59550.0,7.5,6.6
460,51.0,7.2,141.2,3.0,3.0,93200.0,6.95,7.975
461,58.0,7.4,127.6,5.0,4.0,109400.0,7.51,9.9
466,109.0,16.99,155.9,17.0,18.0,101300.0,6.0,6.6
469,114.0,41.0,359.6,6.0,7.0,158200.0,7.51,15.0
470,90.0,25.0,277.8,15.0,16.0,409900.0,14.0,24.45
476,104.0,18.0,173.1,3.0,1.0,93150.0,6.7,7.5
478,40.0,4.2,105.0,3.0,3.0,44050.0,4.675000000000001,3.925
479,40.0,5.85,146.2,4.0,4.0,174600.0,8.19,3.5
481,97.0,4.2,43.3,3.0,2.0,121100.0,8.19,3.7750000000000004
482,225.0,17.3,76.9,1.0,1.0,145800.0,6.7,15.5
483,124.3,4.1,33.0,2.0,2.0,25100.0,5.2,4.85
484,67.0,2.9,43.3,2.0,2.0,40233.333333333336,6.7,2.675
485,172.0,17.9,104.1,4.0,4.0,45400.0,7.5,15.5
486,148.0,14.2,95.9,2.0,2.0,129600.0,6.7,6.4
489,225.0,45.0,200.0,2.0,2.0,84200.0,8.9,25.0
492,49.11,2.6,52.9,1.0,1.0,129600.0,6.7,6.4
498,83.0,13.2,159.0,9.0,10.0,69700.0,6.0,9.445
505,270.0,65.0,240.7,4.0,4.0,66200.0,7.5,8.9
509,83.0,7.99,96.3,3.0,3.0,92350.0,6.5,4.4
510,98.7,19.5,197.6,4.0,4.0,204800.0,12.0,17.05
513,58.0,3.8,65.5,3.0,3.0,174600.0,8.19,3.5
516,40.0,3.78,94.5,2.0,2.0,77100.0,4.675000000000001,4.1
518,360.0,32.5,90.3,6.0,6.0,45400.0,7.5,15.5
519,86.0,3.45,40.1,2.0,2.0,56700.0,6.7,4.05
520,59.0,3.58,60.7,2.0,2.0,44050.0,4.675000000000001,3.925
522,75.0,3.88,51.7,2.0,2.0,83983.33333333333,4.7,2.7
525,62.0,4.3,69.4,2.0,2.0,123900.0,6.95,7.5
530,50.0,4.0,80.0,2.0,2.0,57000.0,5.2,6.85
533,104.0,12.0,115.4,4.0,4.0,66400.0,6.95,14.5
535,92.0,11.2,121.7,2.0,2.0,132000.0,7.5,7.300000000000001
539,80.0,7.5,93.8,4.0,5.0,57000.0,5.2,6.85
543,83.6,8.6,102.9,4.0,5.0,57000.0,5.2,6.85
547,94.2,8.7,92.4,4.0,5.0,40100.0,5.2,7.6
551,90.0,9.1,101.1,4.0,5.0,93150.0,6.7,7.5
555,90.0,9.19,102.1,4.0,5.0,93150.0,6.7,7.5
559,102.7,16.8,163.6,5.0,4.0,145800.0,6.7,15.5
563,80.0,13.5,168.8,4.0,5.0,135700.0,6.7,4.25
571,86.6,16.0,184.8,6.0,7.0,320900.0,14.0,23.494999999999997
576,71.0,1.8,25.4,2.0,2.0,94000.0,6.5,7.7
582,415.0,68.0,163.9,10.0,10.0,130400.0,8.9,23.75
584,66.66,2.6,39.0,2.0,2.0,40233.333333333336,6.7,2.675
585,96.0,6.2,64.6,3.0,2.0,180900.0,6.1,10.5
586,96.8,11.1,114.7,4.0,4.0,52500.0,5.2,4.896000000000001
588,45.0,5.48,121.8,4.0,5.0,101300.0,6.0,6.6
592,87.0,1.44,16.6,3.0,2.0,57000.0,5.2,6.85
594,96.0,5.3,55.2,1.0,1.0,132000.0,7.5,7.300000000000001
601,44.9,2.16,48.1,4.0,4.0,64800.0,8.9,2.16
602,184.2,16.5,89.6,3.0,3.0,64000.0,6.95,16.5
603,110.0,35.0,318.2,4.0,3.0,72900.0,6.7,7.395
605,67.0,3.0,44.8,2.0,2.0,61450.0,7.5,6.7
606,52.0,1.88,36.2,5.0,4.0,107550.0,6.1,2.42
607,66.0,8.1,122.7,4.0,3.0,94000.0,6.5,7.7
610,80.0,4.28,53.5,2.0,2.0,52500.0,5.2,4.896000000000001
613,55.0,7.0,127.3,1.0,1.0,132000.0,7.5,7.300000000000001
614,128.0,6.8,53.1,3.0,3.0,181700.0,4.6,6.5
618,30.0,3.38,112.7,2.0,2.0,104300.0,4.4,6.4
621,68.0,3.1,45.6,2.0,2.0,72900.0,6.7,14.0
627,44.0,0.12,2.7,5.0,6.0,81600.0,4.675000000000001,5.875
628,95.0,34.0,357.9,5.0,5.0,66200.0,7.5,34.0
630,88.0,3.89,44.2,4.0,5.0,71700.0,6.7,4.3950000000000005
633,51.0,3.15,61.8,1.0,1.0,132000.0,7.5,7.300000000000001
638,140.0,14.5,103.6,3.0,2.0,295000.0,7.5,14.25
639,142.8,16.8,117.6,3.0,3.0,39166.66666666666,5.2,3.7
642,125.0,25.8,206.4,3.0,4.0,145800.0,6.7,15.5
644,80.0,3.2,40.0,3.0,2.0,97200.0,6.5,2.925
645,40.0,3.5,87.5,2.0,2.0,145800.0,6.7,15.5
646,69.0,2.6,37.7,2.0,2.0,40233.333333333336,6.7,2.675
649,40.0,1.97,49.2,2.0,2.0,81000.0,4.7,6.04
652,68.0,3.25,47.8,2.0,2.0,83983.33333333333,4.7,2.7
654,91.0,3.7,40.7,3.0,2.0,66200.0,7.5,3.6500000000000004
656,32.0,4.95,154.7,2.0,2.0,100500.0,8.19,13.25
657,71.0,6.8,95.8,2.0,2.0,104300.0,4.4,6.4
660,92.0,10.0,108.7,2.0,2.0,54500.0,4.675000000000001,5.7
661,61.0,8.4,137.7,4.0,4.0,97200.0,8.9,8.4
664,54.0,6.3,116.7,2.0,2.0,195000.0,4.4,6.3
691,75.0,7.4,98.7,2.0,2.0,132000.0,7.5,7.300000000000001
695,125.0,6.88,55.0,3.0,2.0,145800.0,6.7,15.5
699,72.0,4.68,65.0,2.0,2.0,52500.0,5.2,4.896000000000001
703,81.0,6.3,77.8,2.0,2.0,50200.0,7.5,12.25
704,75.0,3.25,43.3,2.0,2.0,86800.0,4.675000000000001,3.2
706,130.0,0.88,6.8,2.0,1.0,19200.0,2.6,0.88
708,57.0,5.6,98.2,3.0,2.0,129600.0,6.5,6.8
709,68.0,2.75,40.4,2.0,2.0,93050.0,4.675000000000001,3.875
719,50.0,6.0,120.0,1.0,1.0,132000.0,7.5,7.300000000000001
720,69.0,7.3,105.8,4.0,5.0,85300.0,8.19,2.8899999999999997
721,61.0,4.0,65.6,3.0,2.0,45400.0,7.5,15.5
728,48.0,4.8,100.0,3.0,3.0,67900.0,4.675000000000001,5.65
729,86.0,12.0,139.5,2.0,2.0,295000.0,7.5,14.25
733,105.0,18.8,179.0,4.0,3.0,64800.0,6.95,7.050000000000001
751,97.0,6.0,61.9,3.0,2.0,120700.0,7.5,5.5
762,112.0,6.0,53.6,2.0,2.0,72900.0,6.5,6.2
764,55.0,2.38,43.3,2.0,1.0,52500.0,5.2,4.896000000000001
766,70.0,2.3,32.9,2.0,2.0,129600.0,6.7,6.4
767,89.0,3.0,33.7,3.0,3.0,66200.0,7.5,3.6500000000000004
768,58.0,1.85,31.9,4.0,3.0,33350.0,4.65,3.9
769,47.6,5.2,109.2,2.0,2.0,80200.0,6.7,9.7
770,104.0,8.3,79.8,4.0,4.0,76600.0,4.675000000000001,3.63
771,117.0,7.8,66.7,3.0,3.0,72900.0,6.5,6.2
773,110.0,12.8,116.4,2.0,1.0,81800.0,6.5,10.0
774,68.3,11.0,161.1,5.0,6.0,175600.0,7.51,11.0
775,45.8,2.15,46.9,3.0,3.0,90700.0,6.5,6.5
817,90.0,6.9,76.7,2.0,2.0,179800.0,8.9,9.9
821,120.0,10.8,90.0,3.0,2.0,179800.0,8.9,9.9
825,67.0,2.99,44.6,2.0,2.0,61450.0,7.5,6.7
829,50.4,4.29,85.1,4.0,3.0,122300.0,8.9,4.29
837,135.0,8.4,62.2,3.0,2.0,129600.0,6.7,6.4
849,51.75,8.9,172.0,4.0,5.0,73700.0,8.9,9.15
876,90.0,6.5,72.2,2.0,2.0,151500.0,8.9,11.0
891,99.0,5.6,56.6,3.0,2.0,66200.0,7.5,4.0
896,20.5,2.19,106.8,2.0,2.0,81000.0,4.7,6.04
900,300.0,34.0,113.3,16.0,7.0,133600.0,6.0,4.92
926,95.0,34.0,357.9,4.0,4.0,66200.0,7.5,34.0
932,88.92,25.1,282.3,2.0,2.0,416000.0,14.0,13.75
