Price,Area,Bedrooms,Toilets,Published At,Loại tin,Status,Developer,Street,District,Suggested Price,Million/m2,District Price,Street Price
6.45,106.8,3,2,2024-10-14,Tin thường,Đã bàn giao,cá nhân/môi giới,18,thủ đức,77.0,60.39,6.6,6.45
17.3,120.0,4,4,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,18,tân phú,64.8,144.17,7.4,17.4
17.5,120.0,4,4,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,18,tân phú,64.8,145.83,7.4,17.4
10.5,111.5,4,4,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,185,quận 9,36.5,94.17,7.5,7.9
5.3,70.0,4,4,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,185,quận 9,36.5,75.71,7.5,7.9
7.1,68.0,4,4,2024-10-21,Tin thường,Đã bàn giao,cá nhân/môi giới,18A,quận 9,77.0,104.41,7.5,7.1
7.1,68.0,4,4,2024-10-19,Tin thường,Đã bàn giao,cá nhân/môi giới,18A,quận 9,77.0,104.41,7.5,7.1
6.5,125.0,4,4,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,18E,bình tân,30.9,52.0,5.225,6.5
9.2,90.0,4,4,2024-10-22,Tin thường,Đã bàn giao,cá nhân/môi giới,19,bình chánh,68.1,102.22,4.5,9.2
36.0,180.0,10,10,2024-10-25,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,19,bình tân,98.8,200.0,5.225,36.0
36.0,180.0,5,6,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,19,bình tân,98.8,200.0,5.225,36.0
19.0,100.0,1,1,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,19,quận 2,77.0,190.0,13.395,19.0
19.0,100.0,4,4,2024-10-28,Tin thường,Đã bàn giao,Tổng công ty Địa ốc Sài Gòn Resco,19,quận 2,77.0,190.0,13.395,19.0
11.9,101.0,7,7,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,19,quận 9,77.0,117.82,7.5,11.9
8.6,83.3,5,6,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,19,thủ đức,77.0,103.24,6.6,8.6
65.0,256.0,4,4,2024-10-25,Tin thường,Đang cập nhật tiến độ,Công ty TNHH Phát Triển Phú Mỹ Hưng,19,tân phú,61.6,253.91,7.4,65.0
1.45,52.0,1,1,2024-10-23,Tin thường,Đã bàn giao,Công ty TNHH Thương mại Xây dựng và Kinh doanh nhà An Phúc,192,quận 8,61.907199999999996,27.88,4.48,1.45
15.0,140.0,4,4,2024-10-25,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,197 Nguyễn Oanh,gò vấp,70.5828,107.14,6.5,15.0
58.0,211.5,4,3,2024-10-23,Tin VIP Bạc,Đang cập nhật tiến độ,Công ty TNHH Phát Triển Phú Mỹ Hưng,1B,quận 7,80.6284,274.23,9.0,58.0
29.0,270.0,12,12,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,2,bình tân,90.7,107.41,5.225,16.925
4.85,56.0,3,2,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,2,bình tân,90.7,86.61,5.225,16.925
