Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
"17,5 tỷ","Đường Võ Thành Trang, Phường 11, Tân Bình, Hồ Chí Minh",158.0,1,1,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",158.0,17.5,11.1,2024-10-26,1.0,1.0,tân bình,91900.0,võ thành trang
"13,6 tỷ","Đường Thống Nhất, Phường Tân Thành, Tân Phú, Hồ Chí Minh",92.0,8,8,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",92.0,13.6,14.8,2024-10-26,8.0,8.0,tân phú,94000.0,thống nhất
11 tỷ,"Đường Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",61.0,2,2,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",61.0,11.0,18.0,2024-10-26,2.0,2.0,tân phú,90700.0,tân quý
8 tỷ,"Đường Nguyễn Thượng Hiền, Phường 1, Gò Vấp, Hồ Chí Minh",71.5,3,4,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",71.5,8.0,11.2,2024-10-26,3.0,4.0,gò vấp,68000.0,nguyễn thượng hiền
33 tỷ,"Đường Nguyễn Phi Khanh, Phường Tân Định, Quận 1, Hồ Chí Minh",60.4,3189538807649044,31226303317535544,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.4,33.0,54.6,2024-10-26,3189538807649044.0,3.1226303317535544e+16,quận 1,115400.0,nguyễn phi khanh
"3,3 tỷ","Phường 8, Gò Vấp, Hồ Chí Minh",26.0,2,2,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",26.0,3.3,12.7,2024-10-27,2.0,2.0,gò vấp,70582.75862068965,
"2,3 tỷ","Đường Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh",62.0,4,4,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",62.0,2.3,3.7,2024-10-27,4.0,4.0,quận 8,83983.33333333333,tạ quang bửu
"4,6 tỷ","Đường Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh",69.0,3,31226303317535544,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",69.0,4.6,6.7,2024-10-27,3.0,3.1226303317535544e+16,tân bình,101933.79629629629,
13 tỷ,"Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",150.0,4,4,18/10/2024,,,Tin thường,Đã bàn giao,45-100 m²,Masterise Homes,"(144.067, 161.2]",150.0,13.0,8.7,2024-10-18,4.0,4.0,quận 2,59327.65113974232,
25 tỷ,"Đường Vĩnh Viễn, Phường 4, Quận 10, Hồ Chí Minh",75.0,6,6,21/10/2024,Tây - Bắc,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",75.0,25.0,33.3,2024-10-21,6.0,6.0,quận 10,109400.0,vĩnh viễn
"9,5 tỷ","Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,3909282700421941,35436241610738257,25/10/2024,,,Tin thường,Bàn giao năm 2017,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"(109.8, 126.933]",115.0,9.5,8.3,2024-10-25,3909282700421941.0,3.5436241610738256e+16,quận 9,59327.65113974232,
55 triệu/m²,"Dự án Khu dân cư Sở Văn Hóa Thông Tin, Đường Bưng Ông Thoàn, Phường Phú Hữu, Quận 9, Hồ Chí Minh",100.0,3671965317919075,3411497730711044,27/10/2024,Đông - Nam,,Tin thường,đã bàn giao,Đang cập nhật,Đang cập nhật,"(92.667, 109.8]",100.0,5.5,5.5,2024-10-27,3671965317919075.0,3411497730711044.0,quận 9,45400.0,bưng ông thoàn
"3,18 tỷ","Phường 11, Phú Nhuận, Hồ Chí Minh",68.6,3,4,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",68.6,3.18,4.6,2024-10-27,3.0,4.0,phú nhuận,124477.19298245614,
"2,78 tỷ","Đường Phan Đăng Lưu, Phường 6, Bình Thạnh, Hồ Chí Minh",60.0,3,3,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,2.78,4.6,2024-10-27,3.0,3.0,bình thạnh,182700.0,phan đăng lưu
"3,46 tỷ","Đường Tú Mỡ, Phường 7, Gò Vấp, Hồ Chí Minh",77.7,4,4,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",77.7,3.46,4.5,2024-10-27,4.0,4.0,gò vấp,54500.0,tú mỡ
"2,8 tỷ","Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh",56.0,3,3,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",56.0,2.8,5.0,2024-10-27,3.0,3.0,quận 1,115400.0,nguyễn văn nguyễn
"15,5 tỷ","Đường Số 25, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",126.0,5,6,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",126.0,15.5,12.3,2024-10-26,5.0,6.0,thủ đức,64800.0,hiệp bình
"3,95 tỷ","Đường Võ Văn Vân, Phường Tân Tạo, Bình Tân, Hồ Chí Minh",127.0,39029126213592233,35433333333333334,26/10/2024,Tây - Bắc,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",127.0,3.95,3.1,2024-10-26,3.902912621359223e+16,3.5433333333333336e+16,bình tân,45781.513083048914,
"3,69 tỷ","Đường Nơ Trang Long, Phường 7, Bình Thạnh, Hồ Chí Minh",54.45,4,5,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",54.45,3.69,6.8,2024-10-27,4.0,5.0,bình thạnh,141800.0,nơ trang long
"32,99 tỷ","Đường 3, Phường Bình An, Quận 2, Hồ Chí Minh",200.0,4485436893203883,4351063829787234,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(195.467, 212.6]",200.0,32.99,16.5,2024-10-26,4485436893203883.0,4351063829787234.0,quận 2,59327.65113974232,
"7,3 tỷ","Hẻm 337 Đường Tân Kỳ Tân Quý, Phường Tân Quý, Tân Phú, Hồ Chí Minh",56.0,1,1,19/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",56.0,7.3,13.0,2024-10-19,1.0,1.0,tân phú,90700.0,tân quý
"53,5 tỷ","Đường Sương Nguyệt Ánh, Phường Bến Thành, Quận 1, Hồ Chí Minh",60.5,3189538807649044,31226303317535544,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.5,53.5,88.4,2024-10-21,3189538807649044.0,3.1226303317535544e+16,quận 1,358700.0,sương nguyệt ánh
71 tỷ,"Đường Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",89.0,332599837000815,32425531914893617,24/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",89.0,71.0,79.8,2024-10-24,332599837000815.0,3.2425531914893616e+16,quận 1,294400.0,tôn thất tùng
25 tỷ,"Đường Lũy Bán Bích, Phường Phú Thọ Hòa, Tân Phú, Hồ Chí Minh",110.0,7,7,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",110.0,25.0,22.7,2024-10-26,7.0,7.0,tân phú,129600.0,lũy bán bích
"28,3 tỷ","Đường Vườn Lài, Phường Tân Thành, Tân Phú, Hồ Chí Minh",144.0,6,6,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",144.0,28.3,19.7,2024-10-26,6.0,6.0,tân phú,115000.0,vườn lài
"11,5 tỷ","Đường Diệp Minh Châu, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",72.0,4,4,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",72.0,11.5,16.0,2024-10-26,4.0,4.0,tân phú,121500.0,tân sơn nhì
"4,35 tỷ","Đường Trần Xuân Soạn, Phường Tân Hưng, Quận 7, Hồ Chí Minh",45.0,2,2,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",45.0,4.35,9.7,2024-10-21,2.0,2.0,quận 7,81000.0,trần xuân soạn
"8,6 tỷ","22b, Đường Ngô Bệ, Phường 13, Tân Bình, Hồ Chí Minh",85.0,2,2,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",85.0,8.6,10.1,2024-10-26,2.0,2.0,tân bình,79000.0,ngô bệ
22 tỷ,"Đường Đồng Xoài, Phường 13, Tân Bình, Hồ Chí Minh",115.0,10,10,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",115.0,22.0,19.1,2024-10-26,10.0,10.0,tân bình,110200.0,đồng xoài
"10,7 tỷ","1025 / 51G, Đường Cách Mạng Tháng Tám, Phường 7, Tân Bình, Hồ Chí Minh",80.0,3,3,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,10.7,13.4,2024-10-26,3.0,3.0,tân bình,101933.79629629629,
6 tỷ,"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",55.0,4,5,27/10/2024,Tây - Nam,Nam,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",55.0,6.0,10.9,2024-10-27,4.0,5.0,gò vấp,66400.0,nguyễn văn khối
"2,6 tỷ","Dự án Thái Dương Luxury, Đường Số 6, Phường Long Trường, Quận 9, Hồ Chí Minh",56.0,30106870229007634,2921553090332805,27/10/2024,,,Tin thường,Đang cập nhật tiến độ,Công ty CP Đầu tư Thương mại Dịch vụ Địa ôc Thái Dương,Công ty CP Đầu tư Thương mại Dịch vụ Địa ôc Thái Dương,"(41.267, 58.4]",56.0,2.6,4.6,2024-10-27,3.010687022900763e+16,2921553090332805.0,quận 9,40950.0,đường số 6
90 tỷ,"Đường An Dương Vương, Phường 4, Quận 5, Hồ Chí Minh",160.0,4181347150259067,3878306878306878,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",160.0,90.0,56.2,2024-10-27,4181347150259067.0,3878306878306878.0,quận 5,260000.0,an dương vương
26 tỷ,"Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",92.7,3671965317919075,3411497730711044,25/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",92.7,26.0,28.0,2024-10-25,3671965317919075.0,3411497730711044.0,quận 3,267300.0,nguyễn đình chiểu
"23,5 tỷ","Đường Số 1, Phường Tân Phú, Quận 7, Hồ Chí Minh.",120.0,4,4,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",120.0,23.5,19.6,2024-10-23,4.0,4.0,tân phú,81800.0,đường số 1
"5,5 tỷ","Đường Trường Chinh, Phường 13, Tân Bình, Hồ Chí Minh",43.0,5,3,13/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",43.0,5.5,12.8,2024-10-13,5.0,3.0,tân bình,163600.0,trường chinh
195 tỷ,"Đường Hồ Xuân Hương, Phường 6, Quận 3, Hồ Chí Minh",264.0,4575,45,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(246.867, 264.0]",264.0,195.0,73.9,2024-10-27,4575.0,45.0,quận 3,226800.0,hồ xuân hương
39 tỷ,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh",150.0,4,4,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",150.0,39.0,26.0,2024-10-23,4.0,4.0,quận 7,145800.0,nguyễn thị thập
"2,55 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",66.0,2,2,24/10/2024,,,Tin thường,Đã bàn giao căn hộ,53-86 m²,Công ty CP Tập đoàn Hưng Thịnh,"(58.4, 75.533]",66.0,2.55,3.9,2024-10-24,2.0,2.0,quận 7,40233.333333333336,đào trí
"4,5 tỷ","Hẻm 406, Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",30.0,2,2,14/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",30.0,4.5,15.0,2024-10-14,2.0,2.0,tân bình,101933.79629629629,
"4,6 tỷ","Đường Hiệp Thành 2, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",79.1,332599837000815,32425531914893617,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",79.1,4.6,5.8,2024-10-26,332599837000815.0,3.2425531914893616e+16,quận 1,267213.53383458644,
"4,15 tỷ","Dự án Centana City Điền Phúc Thành, Đường Trường Lưu, Phường Long Trường, Quận 9, Hồ Chí Minh",85.0,332599837000815,32425531914893617,27/10/2024,Bắc,,Tin thường,Đã bàn giao,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,Công ty TNHH Xây dựng và Kinh doanh Nhà Điền Phúc Thành,"(75.533, 92.667]",85.0,4.15,4.9,2024-10-27,332599837000815.0,3.2425531914893616e+16,quận 9,59327.65113974232,
75 triệu/m²,"Phường Phú Hữu, Thủ Đức, Hồ Chí Minh",108.0,3671965317919075,3411497730711044,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",108.0,8.1,7.5,2024-10-27,3671965317919075.0,3411497730711044.0,thủ đức,59327.65113974232,
"3,2 tỷ","Đường Nguyễn Văn Giáp, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",80.0,332599837000815,32425531914893617,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,3.2,4.0,2024-10-27,332599837000815.0,3.2425531914893616e+16,quận 2,59327.65113974232,
"2,9 tỷ","Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh",54.0,4,4,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",54.0,2.9,5.4,2024-10-23,4.0,4.0,phú nhuận,133300.0,đào duy anh
"18,5 tỷ","Đường 14A, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",133.0,2,2,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",133.0,18.5,13.9,2024-10-23,2.0,2.0,quận 7,64800.0,tân thuận tây
"2,6 tỷ","Dự án KDC Việt Nhân - Tín Hưng, Đường Số 1, Phường Long Trường, Quận 9, Hồ Chí Minh",52.0,30106870229007634,2921553090332805,27/10/2024,,,Tin thường,Đang cập nhật tiến độ,Đang cập nhật,Đang cập nhật,"(41.267, 58.4]",52.0,2.6,5.0,2024-10-27,3.010687022900763e+16,2921553090332805.0,quận 9,32400.0,đường số 1
36 tỷ,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Hồ Chí Minh",125.0,5,5,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",125.0,36.0,28.8,2024-10-23,5.0,5.0,quận 7,145800.0,nguyễn thị thập
"5,5 tỷ","Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",86.0,2,2,16/10/2024,Đông - Bắc,Đông - Bắc,Tin thường,Đang mở bán,79-270.5 m²,Công ty Cổ phần Gamuda Land Việt Nam,"(75.533, 92.667]",86.0,5.5,6.4,2024-10-16,2.0,2.0,tân phú,72900.0,sơn kỳ
"29,9 tỷ","Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh",148.8,4,4,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",148.8,29.9,20.1,2024-10-23,4.0,4.0,quận 7,145800.0,nguyễn thị thập
"18,5 tỷ","Đường Đặng Thùy Trâm, Phường 13, Bình Thạnh, Hồ Chí Minh",138.0,6,7,18/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",138.0,18.5,13.4,2024-10-18,6.0,7.0,bình thạnh,98800.0,đặng thùy trâm
"6,6 tỷ","Đường Số 8, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",80.0,332599837000815,32425531914893617,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,6.6,8.2,2024-10-26,332599837000815.0,3.2425531914893616e+16,thủ đức,64800.0,hiệp bình
17 tỷ,"Đường Số 40, Phường Tân Phong, Quận 7, Hồ Chí Minh",90.0,1,1,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",90.0,17.0,18.9,2024-10-23,1.0,1.0,quận 7,80628.373015873,
8 tỷ,"Park Legend, 251, Đường Hoàng Văn Thụ, Phường 2, Tân Bình, Hồ Chí Minh",98.0,3,2,07/10/2024,,,Tin thường,Bàn giao năm 2021,176,Công ty CP Đầu tư Xây dựng Tân Bình,"(92.667, 109.8]",98.0,8.0,8.2,2024-10-07,3.0,2.0,tân bình,196900.0,hoàng văn thụ
35 tỷ,"Đường Võ Văn Tần, Phường 5, Quận 3, Hồ Chí Minh",48.0,30106870229007634,2921553090332805,26/10/2024,Tây - Bắc,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",48.0,35.0,72.9,2024-10-26,3.010687022900763e+16,2921553090332805.0,quận 3,299700.0,võ văn tần
"3,2 tỷ","Đường Nguyễn Thị Nhỏ, Phường 3, Quận 11, Hồ Chí Minh",48.0,4,2,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",48.0,3.2,6.7,2024-10-27,4.0,2.0,quận 11,131700.0,nguyễn thị nhỏ
20 tỷ,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh",165.0,3,3,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(161.2, 178.333]",165.0,20.0,12.1,2024-10-23,3.0,3.0,quận 7,80200.0,lâm văn bền
"2,6 tỷ","Dragon Hill Residence and Suites 2, Nguyễn Hữu Thọ, Phước Kiển, Nhà Bè, Hồ Chí Minh",52.0,2,2,26/10/2024,Đông - Bắc,Tây - Bắc,Tin thường,Đã bàn giao,51-122 m²,Công ty CP Địa ốc Phú Long,"(41.267, 58.4]",52.0,2.6,5.0,2024-10-26,2.0,2.0,nhà bè,52500.0,nguyễn hữu thọ
"16,5 tỷ","Đường 49, Phường Bình Thuận, Quận 7, Hồ Chí Minh",173.0,1,1,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(161.2, 178.333]",173.0,16.5,9.5,2024-10-23,1.0,1.0,quận 7,80628.373015873,
"3,47 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Hồ Chí Minh",70.2,6,4,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",70.2,3.47,4.9,2024-10-27,6.0,4.0,quận 5,283000.0,nguyễn trãi
"7,2 tỷ","Đường Nguyễn Thế Truyện, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",80.0,1,1,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,7.2,9.0,2024-10-26,1.0,1.0,tân phú,121500.0,tân sơn nhì
34 tỷ,"Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",200.0,1,1,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(195.467, 212.6]",200.0,34.0,17.0,2024-10-23,1.0,1.0,quận 7,129600.0,đường n
26 tỷ,"Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",203.0,6,6,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(195.467, 212.6]",203.0,26.0,12.8,2024-10-27,6.0,6.0,quận 7,80628.373015873,
50 triệu/m²,"Sunshine Diamond River, 422, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",110.0,2,2,27/10/2024,,,Tin thường,"Tháng 12/2023, hợp phần B, C đã sẵn sàng bàn giao.",3.215,Công ty CP Tập đoàn Sunshine,"(109.8, 126.933]",110.0,5.5,5.0,2024-10-27,2.0,2.0,quận 7,40233.333333333336,đào trí
56 tỷ,"Đường Nguyễn Thị Thập, Phường Tân Phong, Quận 7, Hồ Chí Minh",165.0,4,4,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(161.2, 178.333]",165.0,56.0,33.9,2024-10-23,4.0,4.0,quận 7,145800.0,nguyễn thị thập
34 tỷ,"Đường 81, Phường Tân Quy, Quận 7, Hồ Chí Minh",240.0,1,1,18/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(229.733, 246.867]",240.0,34.0,14.2,2024-10-18,1.0,1.0,quận 7,80628.373015873,
"18,8 tỷ","Đường Nguyễn Thái Bình, Phường 12, Tân Bình, Hồ Chí Minh",70.0,5,5,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",70.0,18.8,26.9,2024-10-26,5.0,5.0,tân bình,136400.0,nguyễn thái bình
"11,5 tỷ","Đường Bàu Cát, Phường 14, Tân Bình, Hồ Chí Minh",64.0,3189538807649044,31226303317535544,22/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",64.0,11.5,18.0,2024-10-22,3189538807649044.0,3.1226303317535544e+16,tân bình,168000.0,bàu cát
"16,5 tỷ","Đường Số 55, Phường Tân Phong, Quận 7, Hồ Chí Minh",108.0,4,4,19/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",108.0,16.5,15.3,2024-10-19,4.0,4.0,quận 7,80628.373015873,
24 tỷ,"Đường C27, Phường 12, Tân Bình, Hồ Chí Minh",144.0,1,1,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",144.0,24.0,16.7,2024-10-26,1.0,1.0,tân bình,75800.0,đường c27
23 tỷ,"Đường Tô Hiệu, Phường Hiệp Tân, Tân Phú, Hồ Chí Minh",220.0,7,7,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(212.6, 229.733]",220.0,23.0,10.5,2024-10-26,7.0,7.0,tân phú,81000.0,tô hiệu
30 tỷ,"Đường Số 39, Phường Tân Quy, Quận 7, Hồ Chí Minh",160.0,4,4,25/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",160.0,30.0,18.8,2024-10-25,4.0,4.0,quận 7,80628.373015873,
"10,5 tỷ","Đường Thống Nhất, Phường Tân Thành, Tân Phú, Hồ Chí Minh",68.0,2,2,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",68.0,10.5,15.4,2024-10-26,2.0,2.0,tân phú,94000.0,thống nhất
"8,5 tỷ","Đường Trần Tấn, Phường Tân Sơn Nhì, Tân Phú, Hồ Chí Minh",66.0,2,2,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",66.0,8.5,12.9,2024-10-26,2.0,2.0,tân phú,121500.0,tân sơn nhì
"3,15 tỷ","Đường Tân Canh, Phường 1, Tân Bình, Hồ Chí Minh",86.0,5,6,20/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",86.0,3.15,3.7,2024-10-20,5.0,6.0,tân bình,143900.0,tân canh
48 tỷ,"Đường Nguyễn Văn Hưởng, Phường Thảo Điền, Quận 2, Hồ Chí Minh",202.0,12,12,18/10/2024,Tây - Bắc,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(195.467, 212.6]",202.0,48.0,23.8,2024-10-18,12.0,12.0,quận 2,120700.0,"nguyễn văn hưởng, phường thảo điền"
"4,9 tỷ","Đường Trần Xuân Soạn, Phường Tân Thuận Đông, Quận 7, Hồ Chí Minh",63.0,2,2,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",63.0,4.9,7.8,2024-10-27,2.0,2.0,quận 7,81000.0,trần xuân soạn
"5,7 tỷ","Đường Miếu Gò Xoài, Phường Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",60.0,3,3,21/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",60.0,5.7,9.5,2024-10-21,3.0,3.0,bình tân,54500.0,gò xoài
"6,8 tỷ","Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",55.0,3,4,27/10/2024,Tây - Bắc,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",55.0,6.8,12.4,2024-10-27,3.0,4.0,gò vấp,133600.0,quang trung
"4,35 tỷ","Dự án Sunrise City, Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Hồ Chí Minh",76.0,2,2,26/10/2024,,,Tin thường,Đã bàn giao,56-162 m²,Novaland Group,"(75.533, 92.667]",76.0,4.35,5.7,2024-10-26,2.0,2.0,quận 7,129600.0,đường n
"8,4 tỷ","Diamond Alnata Plus - Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",164.0,3,3,16/10/2024,Đông - Bắc,Đông - Bắc,Tin thường,Đã bàn giao,73-230 m²,Công ty Cổ phần Gamuda Land Việt Nam,"(161.2, 178.333]",164.0,8.4,5.1,2024-10-16,3.0,3.0,tân phú,72900.0,sơn kỳ
"4,2 tỷ","26/3, Bình Hưng Hòa, Bình Tân, Hồ Chí Minh",54.4,30106870229007634,2921553090332805,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",54.4,4.2,7.7,2024-10-27,3.010687022900763e+16,2921553090332805.0,bình tân,45781.513083048914,
38 tỷ,"Đường Lũy Bán Bích, Phường Tân Thành, Tân Phú, Hồ Chí Minh",165.0,4894230769230769,4594059405940594,24/10/2024,Đông - Nam,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(161.2, 178.333]",165.0,38.0,23.0,2024-10-24,4894230769230769.0,4594059405940594.0,tân phú,129600.0,lũy bán bích
"3,8 tỷ","Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",31.0,2,2,03/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",31.0,3.8,12.3,2024-10-03,2.0,2.0,quận 3,247100.0,lê văn sỹ
20 tỷ,"Đường Số 53, Phường Tân Quy, Quận 7, Hồ Chí Minh",140.0,5,5,19/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",140.0,20.0,14.3,2024-10-19,5.0,5.0,quận 7,80628.373015873,
