Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
108 tỷ,"Đường Nguyễn Huy Tưởng, Phường 6, Bình Thạnh, Hồ Chí Minh",230.0,4325581395348837,427906976744186,26/10/2024,Đông,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(229.733, 246.867]",230.0,108.0,47.0,2024-10-26,4325581395348837.0,427906976744186.0,bình thạnh,84200.0,nguyễn huy tưởng
"15,5 tỷ","Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Hồ Chí Minh",142.7,3,5,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",142.7,15.5,10.9,2024-10-24,3.0,5.0,quận 7,145800.0,nguyễn thị thập
"1,38 tỷ","Xã Tam Thôn Hiệp, Cần Giờ, Hồ Chí Minh",92.0,332599837000815,32425531914893617,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",92.0,1.38,1.5,2024-10-27,332599837000815.0,3.2425531914893616e+16,cần giờ,4700.0,tam thôn hiệp
"14,5 tỷ","Đường Hồ Văn Tư, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",160.0,8,8,25/10/2024,Đông - Bắc,Đông - Bắc,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",160.0,14.5,9.1,2024-10-25,8.0,8.0,thủ đức,61600.0,hồ văn tư
"13,5 tỷ","Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",90.3,4,4,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",90.3,13.5,15.0,2024-10-26,4.0,4.0,phú nhuận,109400.0,nguyễn đình chính
50 tỷ,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",150.0,8,8,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",150.0,50.0,33.3,2024-10-24,8.0,8.0,quận 1,175700.0,trần quang khải
"6,6 tỷ","The Ascentia, Đường Nguyễn Lương Bằng, Phường Tân Phú, Quận 7, Hồ Chí Minh",73.0,2,2,23/10/2024,Tây - Bắc,Đông - Nam,Tin thường,Đã bàn giao tháng 4/2022,45-73 m²,Công ty TNHH Phát Triển Phú Mỹ Hưng,"(58.4, 75.533]",73.0,6.6,9.0,2024-10-23,2.0,2.0,quận 7,129600.0,đường n
"18,3 tỷ","Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh",109.0,5,4,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",109.0,18.3,16.8,2024-10-26,5.0,4.0,phú nhuận,133300.0,đào duy anh
"14,5 tỷ","Đường Hồ Văn Tư, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",160.0,8,8,20/10/2024,Đông,Đông,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",160.0,14.5,9.1,2024-10-20,8.0,8.0,thủ đức,61600.0,hồ văn tư
26 tỷ,"Đường An Dương Vương, Phường 13, Quận 6, Hồ Chí Minh",160.0,12,14,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(144.067, 161.2]",160.0,26.0,16.2,2024-10-24,12.0,14.0,quận 6,76600.0,an dương vương
30 tỷ,"Đường Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh",115.0,6,6,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(109.8, 126.933]",115.0,30.0,26.1,2024-10-24,6.0,6.0,tân bình,101933.79629629629,
"5,9 tỷ","Dự án Orchard Park View, Đường Hồng Hà, Phường 9, Phú Nhuận, Hồ Chí Minh",83.0,3,2,18/10/2024,,,Tin thường,Đã bàn giao,399,Novaland Group,"(75.533, 92.667]",83.0,5.9,7.1,2024-10-18,3.0,2.0,phú nhuận,128000.0,hồng hà
135 triệu/m²,"Đường Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh",129.0,39029126213592233,35433333333333334,24/10/2024,,,Tin VIP Bạc,Đã bàn giao,,cá nhân/môi giới,"(126.933, 144.067]",129.0,17.415000000000003,13.5,2024-10-24,3.902912621359223e+16,3.5433333333333336e+16,quận 2,120700.0,trần não
