Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
,"1,25 tỷ","Đường Tôn Thất Thuyết, Phường 16, Quận 4, Hồ Chí Minh",,"7,1 m²",1 phòng,2 phòng,26/10/2024,"7,1 m²","1,25 tỷ",,,26/10/2024,05/11/2024,Tin thường,41078611,,,,,,"Đường Tôn Thất Thuyết, Phường 16, Quận 4, Hồ Chí Minh"
,"4,6 tỷ","Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",,50 m²,4 phòng,3 phòng,27/10/2024,50 m²,"4,6 tỷ",,,27/10/2024,06/11/2024,Tin thường,41216586,,,,,,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
,"10,2 tỷ","Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh",,55 m²,4 phòng,4 phòng,23/10/2024,55 m²,"10,2 tỷ",,,23/10/2024,07/11/2024,Tin thường,41290472,,,,,,"Đường Nguyễn Văn Thương, Phường 25, Bình Thạnh, Hồ Chí Minh"
,4 tỷ,"Đường Lý Thường Kiệt, Phường 4, Gò Vấp, Hồ Chí Minh",,50 m²,,,27/10/2024,50 m²,4 tỷ,,,27/10/2024,06/11/2024,Tin thường,40900598,,,,,,"Đường Lý Thường Kiệt, Phường 4, Gò Vấp, Hồ Chí Minh"
,"4,6 tỷ","Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",,50 m²,4 phòng,3 phòng,27/10/2024,50 m²,"4,6 tỷ",,,27/10/2024,06/11/2024,Tin thường,41216586,,,,,,"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
,13 tỷ,"Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,180 m²,8 phòng,6 phòng,20/10/2024,180 m²,13 tỷ,Tây - Bắc,,20/10/2024,30/10/2024,Tin thường,41264990,,,,,,"Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"
,"6,5 tỷ","Phan Huy Ích, 12, Gò Vấp, Hồ Chí Minh",,48 m²,5 phòng,5 phòng,27/10/2024,48 m²,"6,5 tỷ",,,27/10/2024,06/11/2024,Tin thường,41336562,,,,,,"Phan Huy Ích, 12, Gò Vấp, Hồ Chí Minh"
Richmond City,"3,8 tỷ","Richmond City, 79/5B, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",,67 m²,2 phòng,2 phòng,27/10/2024,67 m²,"3,8 tỷ",,,27/10/2024,06/11/2024,Tin thường,28133208,Richmond City,Đã bàn giao,65 - 86 m²,880,Công ty CP Tập đoàn Hưng Thịnh,"Richmond City, 79/5B, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
Sky Center,4 tỷ,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh",,80 m²,2 phòng,2 phòng,20/10/2024,80 m²,4 tỷ,,,20/10/2024,30/10/2024,Tin thường,40674653,Sky Center,Đã bàn giao,495,4,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Sky Center, Đường Phổ Quang, Phường 2, Tân Bình, Hồ Chí Minh"
,800 triệu,"Đường Lê Thị Vui, Xã Phước Hiệp, Củ Chi, Hồ Chí Minh",,125 m²,,,24/10/2024,125 m²,800 triệu,,,24/10/2024,31/10/2024,Tin VIP Bạc,40774892,,,,,,"Đường Lê Thị Vui, Xã Phước Hiệp, Củ Chi, Hồ Chí Minh"
,"1,3 tỷ","Đường Hoàng Diệu, Phường 8, Quận 4, Hồ Chí Minh",,7 m²,2 phòng,3 phòng,26/10/2024,7 m²,"1,3 tỷ",,,26/10/2024,05/11/2024,Tin thường,41078393,,,,,,"Đường Hoàng Diệu, Phường 8, Quận 4, Hồ Chí Minh"
,"19,5 tỷ","Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",,"66,4 m²",6 phòng,6 phòng,23/10/2024,"66,4 m²","19,5 tỷ",Bắc,Bắc,23/10/2024,22/11/2024,Tin thường,40880083,,,,,,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh"
Lucky Palace,"3,5 tỷ","Dự án Lucky Palace, Đường Phan Văn Khỏe, Phường 2, Quận 6, Hồ Chí Minh",,84 m²,2 phòng,2 phòng,20/10/2024,84 m²,"3,5 tỷ",,,20/10/2024,30/10/2024,Tin thường,39434119,Lucky Palace,Đã bàn giao,78-114 m²,356,Novaland Group,"Dự án Lucky Palace, Đường Phan Văn Khỏe, Phường 2, Quận 6, Hồ Chí Minh"
,"5,4 tỷ","Đường Trần Hưng Đạo, Phường Bến Nghé, Quận 1, Hồ Chí Minh",,92 m²,3 phòng,2 phòng,27/10/2024,92 m²,"5,4 tỷ",,,27/10/2024,06/11/2024,Tin thường,39950733,,,,,,"Đường Trần Hưng Đạo, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
Safira Khang Điền,"3,4 tỷ","Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,67 m²,2 phòng,2 phòng,26/10/2024,67 m²,"3,4 tỷ",Đông - Nam,Tây - Bắc,26/10/2024,05/11/2024,Tin thường,41244452,Safira Khang Điền,Đã bàn giao,1.570,4,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Safira Khang Điền, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Zeit River Thủ Thiêm,55 tỷ,"Dự án Zeit River Thủ Thiêm, Đường Nguyễn Cơ Thạch, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh.",,183 m²,4 phòng,,27/10/2024,183 m²,55 tỷ,,,27/10/2024,11/11/2024,Tin thường,39563573,Zeit River Thủ Thiêm,23/7/2023 mở bán tiếp GĐ2,50-140 m²,300,Công ty GS Engineering & Construction,"Dự án Zeit River Thủ Thiêm, Đường Nguyễn Cơ Thạch, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh."
,28 tỷ,"Đường Trần Nhân Tôn, Phường 2, Quận 10, Hồ Chí Minh",,80 m²,2 phòng,4 phòng,24/10/2024,80 m²,28 tỷ,,,24/10/2024,03/11/2024,Tin VIP Bạc,41307655,,,,,,"Đường Trần Nhân Tôn, Phường 2, Quận 10, Hồ Chí Minh"
Saigon Pearl,7 tỷ,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",,90 m²,2 phòng,2 phòng,14/10/2024,90 m²,7 tỷ,,,14/10/2024,13/11/2024,Tin thường,40827572,Saigon Pearl,Đã bàn giao,1.500,8,Công ty CP tập đoàn S.S.G,"Dự án Saigon Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Celesta Rise,"4,08 tỷ","Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",,80 m²,2 phòng,2 phòng,21/10/2024,80 m²,"4,08 tỷ",,Đông - Bắc,21/10/2024,31/10/2024,Tin thường,41271519,Celesta Rise,Đang mở bán,48-105 m²,2.400,Công ty TNHH Keppel Land Việt Nam,"Dự án Celesta Rise, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
Res Green Tower,"3,9 tỷ","Dự án Res Green Tower, Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh",,83 m²,3 phòng,2 phòng,20/10/2024,83 m²,"3,9 tỷ",,,20/10/2024,30/10/2024,Tin thường,39469998,Res Green Tower,Đã bàn giao,52-140 m²,272,Công ty CP Địa Ốc 11,"Dự án Res Green Tower, Đường Thoại Ngọc Hầu, Phường Hòa Thạnh, Tân Phú, Hồ Chí Minh"
KDC Khang Điền - Intresco,67 triệu/m²,"Dự án Khang Điền Intresco, Đường Dương Đình Hội, Phường Phước Long B, Quận 9, Hồ Chí Minh",,200 m²,,,24/10/2024,200 m²,67 triệu/m²,,,24/10/2024,31/10/2024,Tin VIP Bạc,39667600,KDC Khang Điền - Intresco,Đã bàn giao,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Khang Điền Intresco, Đường Dương Đình Hội, Phường Phước Long B, Quận 9, Hồ Chí Minh"
,24 tỷ,"Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Nhà Bè, Hồ Chí Minh",,800 m²,,,27/10/2024,800 m²,24 tỷ,,,27/10/2024,11/11/2024,Tin thường,41336460,,,,,,"Đường Nguyễn Văn Tạo, Xã Hiệp Phước, Nhà Bè, Hồ Chí Minh"
,28 tỷ,"Đường Trần Văn Mười, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh",,"449,9 m²",,,24/10/2024,"449,9 m²",28 tỷ,Đông - Nam,,24/10/2024,03/11/2024,Tin VIP Bạc,41305564,,,,,,"Đường Trần Văn Mười, Xã Xuân Thới Thượng, Hóc Môn, Hồ Chí Minh"
,60 tỷ,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh",,168 m²,,,24/10/2024,168 m²,60 tỷ,,,24/10/2024,03/11/2024,Tin thường,39874501,,,,,,"Đường Trần Quang Khải, Phường Tân Định, Quận 1, Hồ Chí Minh"
,"3,1 tỷ","Đường Nguyễn Kim, Phường 6, Quận 10, Hồ Chí Minh",,"65,9 m²",3 phòng,4 phòng,27/10/2024,"65,9 m²","3,1 tỷ",Đông - Nam,Tây - Bắc,27/10/2024,06/11/2024,Tin thường,41336554,,,,,,"Đường Nguyễn Kim, Phường 6, Quận 10, Hồ Chí Minh"
The Prince Residence,"8,5 tỷ","Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh",,110 m²,3 phòng,2 phòng,20/10/2024,110 m²,"8,5 tỷ",,,20/10/2024,30/10/2024,Tin thường,39115875,The Prince Residence,Đã bàn giao,277,2,Novaland Group,"Dự án The Prince Residence, Đường Nguyễn Văn Trỗi, Phường 12, Phú Nhuận, Hồ Chí Minh"
Q7 Saigon Riverside,"2,6 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,"67,37 m²",2 phòng,2 phòng,24/10/2024,"67,37 m²","2,6 tỷ",,,24/10/2024,31/10/2024,Tin VIP Bạc,34560817,Q7 Saigon Riverside,Đã bàn giao căn hộ,53-86 m²,3.580,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
,"2,56 tỷ","Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",,"62,3 m²",3 phòng,4 phòng,22/10/2024,"62,3 m²","2,56 tỷ",,,22/10/2024,01/11/2024,Tin thường,41282387,,,,,,"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh"
PARCSpring,"3,5 tỷ","Dự án PARCSpring, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,89 m²,3 phòng,2 phòng,27/10/2024,89 m²,"3,5 tỷ",,,27/10/2024,11/11/2024,Tin thường,41036372,PARCSpring,Đã bàn giao,394,3,CapitaLand Development (Việt Nam),"Dự án PARCSpring, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"
Him Lam Chợ Lớn,"3,5 tỷ","Dự án Him Lam Chợ Lớn, Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh",,97 m²,2 phòng,2 phòng,20/10/2024,97 m²,"3,5 tỷ",,,20/10/2024,30/10/2024,Tin thường,39779627,Him Lam Chợ Lớn,Bàn giao năm 2017,82-102 m²,1.488,Công ty Cổ phần Him Lam,"Dự án Him Lam Chợ Lớn, Đường Hậu Giang, Phường 11, Quận 6, Hồ Chí Minh"
Richmond City,"3,85 tỷ","Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh",,"66,6 m²",2 phòng,2 phòng,24/10/2024,"66,6 m²","3,85 tỷ",,,24/10/2024,03/11/2024,Tin thường,40983485,Richmond City,Đã bàn giao,65 - 86 m²,880,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Richmond City, Phố Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
The Krista,"4,15 tỷ","Dự án The Krista, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh",,"78,9 m²",2 phòng,2 phòng,26/10/2024,"78,9 m²","4,15 tỷ",,,26/10/2024,10/11/2024,Tin thường,41027897,The Krista,Đã bàn giao,70-152 m²,344,CapitaLand Development (Việt Nam),"Dự án The Krista, Đường Nguyễn Duy Trinh, Phường Bình Trưng Đông, Quận 2, Hồ Chí Minh"
Green Town Bình Tân,"1,75 tỷ","Green Town Bình Tân, Số 01, Đường Số 8, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh.",,49 m²,2 phòng,1 phòng,08/10/2024,49 m²,"1,75 tỷ",,Đông,08/10/2024,07/11/2024,Tin thường,33846806,Green Town Bình Tân,Đã bàn giao,63-115 m²,1.334,Công ty TNHH IDE Việt Nam,"Green Town Bình Tân, Số 01, Đường Số 8, Phường Bình Hưng Hòa B, Bình Tân, Hồ Chí Minh."
Vinhomes Golden River Ba Son,18 triệu/tháng,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",,50 m²,1 phòng,1 phòng,21/10/2024,50 m²,18 triệu/tháng,,Nam,21/10/2024,28/10/2024,Tin VIP Vàng,41277956,Vinhomes Golden River Ba Son,Đã bàn giao 4 tòa. Đang mở bán 2 tòa,5,Tập đoàn Vingroup,Tập đoàn Vingroup,"Dự án Vinhomes Golden River Ba Son, Phố Tôn Đức Thắng, Phường Bến Nghé, Quận 1, Hồ Chí Minh"
,"5,7 tỷ","Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh",,50 m²,4 phòng,5 phòng,24/10/2024,50 m²,"5,7 tỷ",Tây - Bắc,Tây - Bắc,24/10/2024,31/10/2024,Tin VIP Bạc,39336248,,,,,,"Đường Đào Tông Nguyên, Thị trấn Nhà Bè, Nhà Bè, Hồ Chí Minh"
,110 tỷ,"Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh",,734 m²,,,25/10/2024,734 m²,110 tỷ,,,25/10/2024,04/11/2024,Tin thường,41317728,,,,,,"Đường Trường Chinh, Phường 14, Tân Bình, Hồ Chí Minh"
Saigon Pearl,16 tỷ,"Saigon Pearl, 92, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",,142 m²,3 phòng,2 phòng,21/10/2024,142 m²,16 tỷ,,,21/10/2024,05/11/2024,Tin thường,37876191,Saigon Pearl,Đã bàn giao,1.500,8,Công ty CP tập đoàn S.S.G,"Saigon Pearl, 92, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Verosa Park Khang Điền,"13,5 tỷ","Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,75 m²,5 phòng,5 phòng,23/10/2024,75 m²,"13,5 tỷ",Tây - Bắc,Tây - Bắc,23/10/2024,07/11/2024,Tin thường,32238787,Verosa Park Khang Điền,Đã bàn giao,296,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án Verosa Park, Đường Liên Phường, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Sunwah Pearl,"5,9 tỷ","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",,53 m²,1 phòng,1 phòng,18/10/2024,53 m²,"5,9 tỷ",,,18/10/2024,17/11/2024,Tin thường,41139434,Sunwah Pearl,Đã bàn giao,52 - 133 m²,1.250,Công ty CP Sun Wah Properties,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
,"17,5 tỷ","Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",,149 m²,16 phòng,,20/10/2024,149 m²,"17,5 tỷ",Đông - Nam,Đông - Nam,20/10/2024,30/10/2024,Tin thường,41266672,,,,,,"Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh"
,"3,9 tỷ","Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",,67 m²,1 phòng,1 phòng,07/10/2024,67 m²,"3,9 tỷ",Đông - Nam,,07/10/2024,06/11/2024,Tin thường,40014317,,,,,,"Đường 11, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh"
,19 tỷ,"Hẻm 633, Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh",,92 m²,4 phòng,6 phòng,24/10/2024,92 m²,19 tỷ,,,24/10/2024,31/10/2024,Tin VIP Bạc,41288584,,,,,,"Hẻm 633, Đường Hồng Bàng, Phường 6, Quận 6, Hồ Chí Minh"
,"13,5 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",,"44,3 m²",7 phòng,7 phòng,19/10/2024,"44,3 m²","13,5 tỷ",,,19/10/2024,29/10/2024,Tin thường,41154087,,,,,,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh"
,"2,79 tỷ","Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh",,60 m²,3 phòng,3 phòng,27/10/2024,60 m²,"2,79 tỷ",,,27/10/2024,06/11/2024,Tin thường,41336553,,,,,,"Đường Đào Duy Anh, Phường 9, Phú Nhuận, Hồ Chí Minh"
Botanica Premier,"3,2 tỷ","Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh",,54 m²,2 phòng,1 phòng,20/10/2024,54 m²,"3,2 tỷ",,,20/10/2024,30/10/2024,Tin thường,40894215,Botanica Premier,Tháng 11/2018,50-105 m²,3,Novaland Group,"Dự án Botanica Premier, Đường Hồng Hà, Phường 2, Tân Bình, Hồ Chí Minh"
,"13,75 tỷ","Đường Số 6, Phường An Lạc A, Bình Tân, Hồ Chí Minh",,100 m²,,,24/10/2024,100 m²,"13,75 tỷ",,,24/10/2024,31/10/2024,Tin VIP Bạc,41267870,,,,,,"Đường Số 6, Phường An Lạc A, Bình Tân, Hồ Chí Minh"
Sunwah Pearl,"5,9 tỷ","Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",,53 m²,1 phòng,1 phòng,18/10/2024,53 m²,"5,9 tỷ",,,18/10/2024,17/11/2024,Tin thường,41139463,Sunwah Pearl,Đã bàn giao,52 - 133 m²,1.250,Công ty CP Sun Wah Properties,"Dự án Sunwah Pearl, Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
,"8,3 tỷ","Đường 11, Phường Phước Bình, Thủ Đức, Hồ Chí Minh",,87 m²,2 phòng,2 phòng,23/10/2024,87 m²,"8,3 tỷ",,,23/10/2024,02/11/2024,Tin thường,41295253,,,,,,"Đường 11, Phường Phước Bình, Thủ Đức, Hồ Chí Minh"
The Pegasuite 2,"2,53 tỷ","Dự án The Pegasuite 2, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh",,52 m²,2 phòng,2 phòng,24/10/2024,52 m²,"2,53 tỷ",Đông - Bắc,Tây - Nam,24/10/2024,31/10/2024,Tin VIP Bạc,41307344,The Pegasuite 2,Bàn giao ngày 18/12/2023,51-100 m²,361,Công ty CP Đầu tư và Kinh doanh Bất động sản Phương Việt (PVInvest),"Dự án The Pegasuite 2, Phố Tạ Quang Bửu, Phường 6, Quận 8, Hồ Chí Minh"
Fiato Uptown,"3,8 tỷ","Dự án Fiato Premier, Đường Tô Ngọc Vân, Phường Tam Phú, Thủ Đức, Hồ Chí Minh",,80 m²,2 phòng,2 phòng,18/10/2024,80 m²,"3,8 tỷ",Tây - Bắc,Đông - Nam,18/10/2024,02/11/2024,Tin thường,40436576,Fiato Uptown,Đang mở bán,72-297 m²,464,Công ty Cổ phần Hưng Phú Invest,"Dự án Fiato Premier, Đường Tô Ngọc Vân, Phường Tam Phú, Thủ Đức, Hồ Chí Minh"
,Thỏa thuận,"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh.",,100 m²,6 phòng,7 phòng,27/10/2024,100 m²,Thỏa thuận,,,27/10/2024,06/11/2024,Tin thường,37141229,,,,,,"Đường Huỳnh Văn Bánh, Phường 13, Phú Nhuận, Hồ Chí Minh."
,"2,59 tỷ","Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh",,68 m²,4 phòng,3 phòng,21/10/2024,68 m²,"2,59 tỷ",,,21/10/2024,31/10/2024,Tin thường,41268438,,,,,,"Đường Bùi Đình Túy, Phường 24, Bình Thạnh, Hồ Chí Minh"
Essensia Sky,68 triệu/m²,"Dự án Essensia Sky, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh",,72 m²,2 phòng,2 phòng,19/10/2024,72 m²,68 triệu/m²,Đông - Nam,,19/10/2024,29/10/2024,Tin VIP Bạc,41257518,Essensia Sky,Đang mở bán,72-119 m²,424,Công ty CP Địa ốc Phú Long,"Dự án Essensia Sky, Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Nhà Bè, Hồ Chí Minh"
,"5,9 tỷ","Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,52 m²,4 phòng,5 phòng,25/10/2024,52 m²,"5,9 tỷ",Tây - Nam,Tây - Nam,25/10/2024,04/11/2024,Tin thường,40900216,,,,,,"Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
,"4,65 tỷ","Phường Thạnh Lộc, Quận 12, Hồ Chí Minh",,52 m²,4 phòng,4 phòng,25/10/2024,52 m²,"4,65 tỷ",,,25/10/2024,04/11/2024,Tin thường,40763571,,,,,,"Phường Thạnh Lộc, Quận 12, Hồ Chí Minh"
,"1,58 tỷ","Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh",,22 m²,2 phòng,1 phòng,27/10/2024,22 m²,"1,58 tỷ",,,27/10/2024,06/11/2024,Tin thường,41334133,,,,,,"Đường Quốc Lộ 50, Xã Bình Hưng, Bình Chánh, Hồ Chí Minh"
Sunwah Pearl,"14,5 tỷ","Dự án Sunwah Pearl, 90 Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh",,128 m²,2 phòng,2 phòng,27/10/2024,128 m²,"14,5 tỷ",,Đông - Nam,27/10/2024,11/11/2024,Tin thường,40658305,Sunwah Pearl,Đã bàn giao,52 - 133 m²,1.250,Công ty CP Sun Wah Properties,"Dự án Sunwah Pearl, 90 Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
Mỹ Thái 1,39 tỷ,"Dự án Mỹ Thái 1, Đường 17, Phường Tân Phú, Quận 7, Hồ Chí Minh",,126 m²,4 phòng,,24/10/2024,126 m²,39 tỷ,,,24/10/2024,31/10/2024,Tin VIP Bạc,40742662,Mỹ Thái 1,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,,Công ty TNHH Phát Triển Phú Mỹ Hưng,"Dự án Mỹ Thái 1, Đường 17, Phường Tân Phú, Quận 7, Hồ Chí Minh"
,"2,79 tỷ","Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh",,"92,4 m²",4 phòng,5 phòng,21/10/2024,"92,4 m²","2,79 tỷ",,,21/10/2024,31/10/2024,Tin thường,41268240,,,,,,"Đường Dương Quảng Hàm, Phường 5, Gò Vấp, Hồ Chí Minh"
,70 tỷ,"Đường Nguyễn Văn Kỉnh, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,160 m²,,,21/10/2024,160 m²,70 tỷ,,,21/10/2024,31/10/2024,Tin thường,40821975,,,,,,"Đường Nguyễn Văn Kỉnh, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
Golden Mansion,"3,9 tỷ","Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh",,69 m²,2 phòng,2 phòng,20/10/2024,69 m²,"3,9 tỷ",,,20/10/2024,30/10/2024,Tin thường,39365572,Golden Mansion,Đã bàn giao,49-108 m²,709,Novaland Group,"Dự án Golden Mansion, Đường Phổ Quang, Phường 9, Phú Nhuận, Hồ Chí Minh"
One Verandah Mapletree,6 tỷ,"Dự án One Verandah Mapletree, Đường Bát Nàn, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh",,81 m²,2 phòng,2 phòng,24/10/2024,81 m²,6 tỷ,Đông - Nam,Tây - Bắc,24/10/2024,31/10/2024,Tin VIP Bạc,41307086,One Verandah Mapletree,Đã bàn giao,55-343 m²,799,Đang cập nhật,"Dự án One Verandah Mapletree, Đường Bát Nàn, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
The Global City,"31,5 tỷ","Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh",,95 m²,4 phòng,3 phòng,17/10/2024,95 m²,"31,5 tỷ",,,17/10/2024,01/11/2024,Tin thường,41231648,The Global City,Q1/2024: Sắp bán khu căn hộ,Masterise Homes,,Masterise Homes,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh"
,"4,65 tỷ","Lê Văn Quới, Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh",,60 m²,3 phòng,2 phòng,26/10/2024,60 m²,"4,65 tỷ",,,26/10/2024,05/11/2024,Tin thường,41329692,,,,,,"Lê Văn Quới, Bình Hưng Hòa A, Bình Tân, Hồ Chí Minh"
The Pegasuite 2,Thỏa thuận,"Dự án The PegaSuite 2, Phố Tạ Quang Bửu, Phường 16, Quận 8, Hồ Chí Minh",,51 m²,2 phòng,,24/10/2024,51 m²,Thỏa thuận,,,24/10/2024,08/11/2024,Tin VIP Bạc,36238938,The Pegasuite 2,Bàn giao ngày 18/12/2023,51-100 m²,361,Công ty CP Đầu tư và Kinh doanh Bất động sản Phương Việt (PVInvest),"Dự án The PegaSuite 2, Phố Tạ Quang Bửu, Phường 16, Quận 8, Hồ Chí Minh"
,"1,2 tỷ","Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh",,100 m²,,,23/10/2024,100 m²,"1,2 tỷ",,,23/10/2024,02/11/2024,Tin thường,41086743,,,,,,"Đường Vườn Lài, Phường An Phú Đông, Quận 12, Hồ Chí Minh"
The Global City,Thỏa thuận,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh",,125 m²,3 phòng,,23/10/2024,125 m²,Thỏa thuận,Đông - Nam,Đông - Nam,23/10/2024,22/11/2024,Tin thường,41294442,The Global City,Q1/2024: Sắp bán khu căn hộ,Masterise Homes,,Masterise Homes,"Dự án The Global City, Phường An Phú, Quận 2, Hồ Chí Minh"
